Difficulty,Question,Answer A,Answer B,Answer C,Answer D,Answer
Easy,"In a Behavior Tree, what type of composite node executes its children from left to right and stops executing as soon as one of its children succeeds?",Decorator,Task,Selector,Sequence,C
Easy,"You need an AI to perform a specific sequence of actions in order: 1. Find a patrol point, 2. Move to the point, 3. Wait. If any of these actions fail, the entire sequence should fail. What Behavior Tree node is best suited for this?",Decorator,Sequence,Selector,Simple Parallel,B
Easy,Which Actor is essential for defining the navigable area for AI characters within a level?,BlockingVolume,TriggerVolume,NavMeshBoundsVolume,PostProcessVolume,C
Easy,In which component would you typically find and enable the 'bUseRVOAvoidance' property for an AI character?,AI Controller,Skeletal Mesh Component,Character Movement Component,Pawn Sensing Component,C
Easy,What is the main component that executes an EQS query and to whom the results are relevant?,The Generator,The Querier,The Context,The Tester,B
Easy,Which EQS Generator is best suited for finding potential cover spots around the Querier in a circular pattern?,ActorsOfClass,OnCircle,PathingGrid,SimpleGrid,B
Easy,What is the default movement mode for a character that is on the ground and able to move around?,MOVE_Walking,MOVE_Standing,MOVE_Grounded,MOVE_NavWalking,A
Easy,What is the primary purpose of 'claiming' a Smart Object slot before an agent uses it?,To begin playing the interaction's animation.,To reserve the slot and prevent other agents from trying to use it simultaneously.,To make the object visible to other agents.,To permanently assign the object to that specific agent.,B
Easy,"What is the primary system responsible for managing, registering, and querying all available Smart Objects in a level?",SmartObjectSubsystem,NavigationSystemV1,AIPerceptionComponent,BehaviorTreeComponent,A
Easy,What is the primary role of a 'Task' node within a State Tree?,To store variables that are shared across the entire tree.,To define the rules for switching between states.,"To continuously check a condition, like 'Is player in range?'.","To perform an action, such as moving an Actor or playing a montage.",D
Easy,Which component is primarily responsible for giving an AI character the ability to see or hear stimuli in the environment using the modern perception system?,AIPerceptionComponent,PawnSensingComponent,AIStimulusManager,CharacterMovementComponent,A
Easy,What is the main function of the `Pawn` class within the Gameplay Framework?,To manage the game's rules and logic.,To store persistent player data like score and name.,To act as the physical representation of a player or an AI entity in the world.,To handle input from a human player.,C
Easy,"In a single-player level, which class is primarily responsible for defining the rules, such as setting the required score to win and spawning the player's character?",GameMode,Pawn,PlayerController,GameState,A
Easy,"To make a third-person camera smoothly follow a character while maintaining a fixed distance and also handle collisions to prevent clipping through walls, which component is most commonly used as a parent for the Camera Component?",A Character Movement Component,A Physics Constraint Component,A Scene Component,A Spring Arm Component,D
Easy,"In Blueprints, which node is the most common and direct way to get a reference to the local player's controller?",Find Player Start,Get Player Controller,Get Owning Actor,Get Game Mode,B
